ra,dec,LS_id,z,source
10.684709548950195,41.26874923706055,MESSIER_031,-0.0010006922855944561,2MRS
11.888059616088867,-25.288799285888672,NGC_0253,0.0008105607513315095,2MRS
148.8882598876953,69.06526184082031,MESSIER_081,-0.0001134117923673717,2MRS
201.3656463623047,-43.01871109008789,NGC_5128,0.0018245956007338917,2MRS
196.36366271972656,-49.467899322509766,NGC_4945,0.001877965855965596,2MRS
23.462099075317383,30.659940719604492,MESSIER_033,-0.0005970797304046922,2MRS
148.9684600830078,69.67970275878906,MESSIER_082,0.0006771351132522487,2MRS
56.70214080810547,68.09610748291016,IC_0342,0.00010340486951142713,2MRS
204.2538299560547,-29.865760803222656,MESSIER_083,0.00171118380836652,2MRS
189.99789428710938,-11.623069763183594,MESSIER_104,0.003415696334829077,2MRS
10.674269676208496,40.865169525146484,MESSIER_032,-0.0006671281903963041,2MRS
192.72145080566406,41.12015151977539,MESSIER_094,0.0010273774132103083,2MRS
194.18206787109375,21.682659149169922,MESSIER_064,0.0013609415084084604,2MRS
308.7180480957031,60.15367889404297,NGC_6946,0.00013342563807926082,2MRS
187.4449920654297,8.000410079956055,MESSIER_049,0.003325634029125576,2MRS
202.46957397460938,47.19525909423828,MESSIER_051a,0.001544401760767444,2MRS
184.74008178710938,47.30371856689453,MESSIER_106,0.0014943671464877212,2MRS
50.67412185668945,-37.20819854736328,NGC_1316,0.005870728075487476,2MRS
198.95553588867188,42.02928924560547,MESSIER_063,0.001614450220759056,2MRS
40.66987991333008,-0.013290000148117542,MESSIER_077,0.003792623762402989,2MRS
190.9167022705078,11.552610397338867,MESSIER_060,0.0037259109433633586,2MRS
49.32749938964844,-41.108070373535156,g0317186-410629,0.002628485070161438,2MRS
166.4524688720703,-0.03590000048279762,NGC_3521,0.002671848402537198,2MRS
10.09197998046875,41.685298919677734,MESSIER_110,-0.0008038894694275464,2MRS
187.7059326171875,12.39109992980957,MESSIER_087,0.004359682724239848,2MRS
151.30824279785156,-7.7185797691345215,NGC_3115,0.0022115299511637483,2MRS
170.06260681152344,12.991290092468262,MESSIER_066,0.0024250109720905656,2MRS
210.80242919921875,54.348751068115234,14031253+5420561,0.000820567674187454,2MRS
35.63711166381836,42.34832000732422,NGC_0891,0.0017612184226462428,2MRS
61.94544982910156,69.81243133544922,IC_0356,0.002985398652023461,2MRS
339.26708984375,34.41592025756836,NGC_7331,0.0027218830168169207,2MRS
143.04212951660156,21.500829696655273,NGC_2903,0.0018546163693017254,2MRS
169.733154296875,13.092209815979004,MESSIER_065,0.0026918622482490872,2MRS
189.08668518066406,25.987390518188477,NGC_4565,0.004102838370937271,2MRS
